appid,cluster,year,weight
1203220,0,2021,7
1222670,4,2021,2
1225330,3,2021,1
1238810,2,2021,1
1240440,2,2021,2
1248130,4,2021,2
1250410,4,2021,1
1259420,2,2021,1
1286830,0,2021,1
1289670,3,2021,1
1293830,3,2021,4
1313860,3,2021,1
1325200,0,2021,1
1328670,0,2021,2
1366540,4,2021,1
1384160,0,2021,1
1426210,2,2021,4
1466860,1,2021,2
1468810,0,2021,1
1506830,3,2021,4
1517290,2,2021,7
1551360,3,2021,4
1569040,3,2021,1
1644960,3,2021,1
440,0,2022,2
570,3,2022,7
730,0,2022,7
39210,1,2022,2
105600,0,2022,1
108600,0,2022,2
221100,0,2022,1
227300,2,2022,1
230410,0,2022,4
236390,0,2022,4
238960,1,2022,1
242760,0,2022,1
252490,0,2022,4
255710,2,2022,2
261550,1,2022,1
270880,2,2022,1
271590,0,2022,4
275850,0,2022,1
281990,4,2022,2
289070,4,2022,2
292030,1,2022,1
294100,4,2022,2
306130,1,2022,2
311210,0,2022,2
346110,0,2022,1
359550,0,2022,4
381210,0,2022,4
386360,1,2022,1
393380,0,2022,1
394360,4,2022,1
397540,0,2022,1
413150,2,2022,1
431960,2,2022,1
489830,1,2022,1
518790,0,2022,1
526870,2,2022,1
529340,4,2022,1
534380,0,2022,7
548430,0,2022,1
552990,0,2022,1
578080,0,2022,7
582010,1,2022,1
582660,1,2022,2
594650,0,2022,2
632360,0,2022,1
648800,0,2022,2
686810,0,2022,1
703080,2,2022,1
739630,0,2022,2
814380,1,2022,2
892970,0,2022,1
920210,1,2022,2
962130,0,2022,1
1063730,0,2022,1
1085660,0,2022,7
1091500,1,2022,4
1142710,4,2022,2
1144200,0,2022,4
1151340,0,2022,1
1151640,1,2022,2
1158310,4,2022,1
1172470,0,2022,7
1172620,0,2022,2
1174180,0,2022,4
1196590,0,2022,1
1203220,1,2022,7
1222670,2,2022,2
1238810,0,2022,1
1240440,0,2022,1
1245620,1,2022,7
1248130,2,2022,1
1250410,2,2022,1
1286680,0,2022,1
1286830,1,2022,1
1293830,3,2022,1
1313140,1,2022,1
1332010,1,2022,2
1361210,0,2022,2
1418630,0,2022,1
1426210,3,2022,2
1446780,1,2022,7
1449850,4,2022,7
1462040,1,2022,1
1466860,4,2022,1
1506830,3,2022,2
1517290,0,2022,1
1551360,3,2022,4
1583230,1,2022,1
1593500,1,2022,4
1599340,1,2022,7
1604030,0,2022,2
1644960,3,2022,1
1687950,1,2022,1
1692250,3,2022,1
1811260,3,2022,4
1817070,1,2022,2
1904540,3,2022,2
1919590,3,2022,1
1938090,0,2022,7
440,0,2023,2
570,0,2023,7
730,0,2023,7
39210,4,2023,2
108600,0,2023,2
221100,0,2023,1
227300,1,2023,2
230410,0,2023,2
236390,0,2023,4
238960,4,2023,1
252490,0,2023,4
